1/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,1.3,  ,1.5
2018/06/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5              ,0.50,0.50
2018/06/28,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.1              ,0.20,0.50
2018/07/12,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1              ,0.10,0.10
2018/07/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.3              ,0.40,0.10
2018/08/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3              ,0.30,0.30
2018/08/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1              ,0.10,0.30
2018/09/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1              ,0.10,0.10
2018/09/27,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.4              ,0.10,0.10
2018/10/12,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4              ,0.40,0.40
2018/10/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.2              ,0.10,0.40
2018/11/13,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.2              ,0.20,0.20
2018/11/29,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.1              ,0.20,0.20
2018/12/13,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1              ,0.10,0.10
2018/12/28,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.1              ,0.30,0.10
2019/01/16,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2019/01/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,-0.8,-0.9,-0.8
2019/02/21,3:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.8,-0.8,-0.8
2019/02/28,9:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,-0.8
2019/03/14,3:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.4,0.5,0.5
2019/03/28,9:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.4,0.6,0.4
2019/04/11,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2019/04/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,1,0.5,0.4
2019/05/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,1,1,1
2019/05/31,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.3,1
2019/06/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
2019/06/27,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.2
2019/07/11,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2019/07/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.3,0.3
2019/08/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2019/08/29,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,0.5
2019/09/12,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,0.5
2019/09/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,-0.2
2019/10/11,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,-0.2
2019/10/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,,% ,0.1,,0
2019/11/13,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2019/11/28,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.8,-0.6,0.1
2019/12/12,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.8,-0.8,0.1
2020/01/03,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,-0.8
2020/01/16,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2020/01/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.6,-0.6,0.5
2020/02/13,3:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.6,-0.6,-0.6
2020/02/28,9:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.3,-0.6
2020/03/13,3:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,-0.6
2020/03/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.4
2020/04/16,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.4
2020/04/29,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.1,0.1
2020/05/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.3,0.1
2020/05/28,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,0.4
2020/06/16,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2020/06/29,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.6,0.3,-0.1
2020/07/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.6,0.6,-0.1
2020/07/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,-0.2,0.6
2020/08/13,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.5,-0.5,0.6
2020/08/31,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,-0.1,-0.2,-0.5
