1/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.6,  ,0.1
2017/09/29,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.5,1.6,1.5
2017/10/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.5,1.5,1.5
2017/10/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.4,1.5,1.5
2017/11/16,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4,1.4,1.4
2017/11/30,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.5,1.6,1.4
2017/12/18,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.5,1.5,1.5
2018/01/05,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4              ,1.40,1.50
2018/01/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4              ,1.40,1.40
2018/01/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.3              ,1.30,1.40
2018/02/23,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.3              ,1.30,1.30
2018/02/28,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.2              ,1.20,1.30
2018/03/16,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.1              ,1.20,1.20
2018/04/04,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4              ,1.40,1.10
2018/04/18,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.3              ,1.40,1.40
2018/05/03,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.2              ,1.30,1.30
2018/05/16,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.2              ,1.20,1.20
2018/05/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.9              ,1.60,1.20
2018/06/15,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.9              ,1.90,1.90
2018/06/29,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.0              ,2.00,1.90
2018/07/18,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.0              ,2.00,2.00
2018/07/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.1              ,2.00,2.00
2018/08/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.1              ,2.10,2.10
2018/08/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.0              ,2.10,2.10
2018/09/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.0              ,2.00,2.00
2018/09/28,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.1              ,2.10,2.00
2018/10/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.1              ,2.10,2.10
2018/10/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.2              ,2.10,2.10
2018/11/16,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.2              ,2.20,evised From 2.2
2018/11/30,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.0              ,2.10,2.20
2018/12/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.9              ,2.00,2.00
2019/01/04,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.6,1.8,1.9
2019/01/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.6,1.6,evised From 1.6
2019/02/01,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4,1.4,1.6
2019/02/22,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4,1.4,evised From 1.4
2019/03/01,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.5,1.5,1.4
2019/03/15,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.5,1.5,evised From 1.5
2019/03/29,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,,,,,1.5
2019/04/01,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.4,1.5,1.5
2019/04/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4,1.4,1.4
2019/05/03,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.7,1.6,1.4
2019/05/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.7,1.7,1.7
2019/06/04,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.2,1.3,1.7
2019/06/18,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.2,1.2,evised From 1.2
2019/06/28,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.2,1.2,1.2
2019/07/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.3,1.2,1.2
2019/07/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.1,1.1,1.3
2019/08/19,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1,1.1,evised From 1.1
2019/08/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1,1,1
2019/09/18,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1,1,1
2019/10/01,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.9,1,1
2019/10/16,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.8,0.9,1
2019/10/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.7,0.7,0.8
2019/11/15,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.7,0.7,0.7
2019/11/29,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1,0.9,0.7
2019/12/18,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1,1,0.7
2020/01/07,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.3,1.3,1
2020/01/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.3,1.3,1.3
2020/01/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4,1.4,1.3
2020/02/21,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4,1.4,1.4
2020/03/03,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.2,1.2,1.4
2020/03/18,6:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.2,1.2,1.2
2020/03/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.7,0.8,1.2
2020/04/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.7,0.7,1.2
2020/04/30,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.1,0.7
2020/05/20,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.3,0.4,0.7
2020/05/29,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0.3
2020/06/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0.3
2020/06/30,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.1,0.1
2020/07/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.1
2020/07/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.2,0.3
2020/08/19,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,evised From 0.4
2020/09/01,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.2,0.4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
